,index,Step,Qlocal,Qglobal,corr,runningtime,curvature,nunit,maxsizeofunit,rep
134,2,MapOutlier,,,,0.0,5.17965,,,33
135,3,Avedmat,,,,0.0054938793182373,,,,33
136,0,1,0.63,0.8760844582422855,0.9938516033758558,0.8912405967712402,5.26538,25.0,1.0,34
137,1,2,0.4260806891876098,0.8406621875973029,0.8729344171860156,919.7499508857728,5.26538,25.0,501.0,34
138,2,MapOutlier,,,,0.0,5.26538,,,34
139,3,Avedmat,,,,0.0054938793182373,,,,34
140,0,1,0.69,0.8764814244847897,0.9945896199912154,0.7700159549713135,5.44064,25.0,1.0,35
141,1,2,0.4326886809768238,0.8477359521010247,0.8756943174329888,765.2315583229065,5.44064,25.0,501.0,35
142,2,MapOutlier,,,,0.0,5.44064,,,35
143,3,Avedmat,,,,0.0054938793182373,,,,35
144,0,1,0.6799999999999999,0.8751514228581129,0.9945776657114788,0.546334981918335,5.4325,25.0,1.0,36
145,1,2,0.4397399310840613,0.84823454803951,0.8752828923386764,465.37190532684326,5.4325,25.0,501.0,36
146,2,MapOutlier,,,,0.0,5.4325,,,36
147,3,Avedmat,,,,0.0054938793182373,,,,36
148,0,1,0.6699999999999999,0.8809668466320774,0.9941491875265872,0.998863697052002,5.40003,25.0,1.0,37
149,1,2,0.4428775751525855,0.8470592112784859,0.8690457906217547,740.1183359622955,5.40003,25.0,501.0,37
150,2,MapOutlier,,,,0.0,5.40003,,,37
151,3,Avedmat,,,,0.0054938793182373,,,,37
152,0,1,0.59,0.8655326522761575,0.9940224540798372,0.9793131351470948,5.60643,25.0,1.0,38
153,1,2,0.4270626637869683,0.8420125604913704,0.8774914516453234,649.4795210361481,5.60643,25.0,501.0,38
154,2,MapOutlier,,,,0.0,5.60643,,,38
155,3,Avedmat,,,,0.0054938793182373,,,,38
156,0,1,0.6200000000000001,0.8553554932130257,0.9930738143616008,0.838475227355957,5.27688,25.0,1.0,39
157,1,2,0.4301196873878137,0.84659757751507,0.8709939869254251,695.7222993373871,5.27688,25.0,501.0,39
158,2,MapOutlier,,,,0.0,5.27688,,,39
159,3,Avedmat,,,,0.0054938793182373,,,,39
160,0,1,0.6799999999999999,0.8855211813955925,0.9948739190720504,1.193850040435791,5.40887,25.0,1.0,40
161,1,2,0.4346063244702898,0.8473914902714222,0.8756629218338066,501.5834715366363,5.40887,25.0,501.0,40
162,2,MapOutlier,,,,0.0,5.40887,,,40
163,3,Avedmat,,,,0.0054938793182373,,,,40
164,0,1,0.64,0.8910278951989816,0.9943291906140432,0.7195274829864502,5.63476,25.0,1.0,41
165,1,2,0.4355986488227989,0.8515414905063391,0.8791487424259811,673.0526657104492,5.63476,25.0,501.0,41
166,2,MapOutlier,,,,0.0,5.63476,,,41
167,3,Avedmat,,,,0.0054938793182373,,,,41
168,0,1,0.6799999999999999,0.8877664426702655,0.995122593326932,0.7740604877471924,5.60287,25.0,1.0,42
169,1,2,0.434815449878013,0.8484665437869202,0.8775229004137296,567.169759273529,5.60287,25.0,501.0,42
170,2,MapOutlier,,,,0.0,5.60287,,,42
171,3,Avedmat,,,,0.0054938793182373,,,,42
172,0,1,0.69,0.875267587589569,0.9938522330751164,1.2212660312652588,5.15881,25.0,1.0,43
173,1,2,0.4358689656022948,0.8482596890089528,0.8723768581262603,407.7973189353943,5.15881,25.0,501.0,43
174,2,MapOutlier,,,,0.0,5.15881,,,43
175,3,Avedmat,,,,0.0054938793182373,,,,43
176,0,1,0.6799999999999999,0.8832374185542848,0.9944352783922512,0.5532481670379639,5.15854,25.0,1.0,44
177,1,2,0.4327915021454157,0.8443730294013152,0.8754847908342278,466.8212208747864,5.15854,25.0,501.0,44
178,2,MapOutlier,,,,0.0,5.15854,,,44
179,3,Avedmat,,,,0.0054938793182373,,,,44
180,0,1,0.6799999999999999,0.8870405233031429,0.9947971739089972,0.638746976852417,5.39654,25.0,1.0,45
181,1,2,0.434028608226555,0.846262220514589,0.8777155744723257,511.8930151462555,5.39654,25.0,501.0,45
182,2,MapOutlier,,,,0.0,5.39654,,,45
183,3,Avedmat,,,,0.0054938793182373,,,,45
184,0,1,0.6599999999999999,0.8773687524344148,0.994747408066476,1.295943260192871,5.86379,25.0,1.0,46
185,1,2,0.4322437349250669,0.844582784790483,0.8797002783846091,876.3612005710602,5.86379,25.0,501.0,46
186,2,MapOutlier,,,,0.0,5.86379,,,46
187,3,Avedmat,,,,0.0054938793182373,,,,46
188,0,1,0.6599999999999999,0.8768708309309333,0.9945361636384876,0.8254694938659668,5.64274,25.0,1.0,47
189,1,2,0.4281007934855047,0.8476191429575762,0.8826254752571655,561.9793422222137,5.64274,25.0,501.0,47
